34;1;OSBP sourcebook domesticated in West and Central Africa and mechanisms  for dissemination and experience sharing established
35;1;Established monitoring framework of TLS and OSBP projects and impacts
36;1;Established framework of human capital development of OSBP practitioners, in RECs and countries
37;1;High Speed Rail Detailed Scoping Study (DSS) Process completed
38;1;HSRNP Pre-Feasibility/Feasibility Studies resources mobilized and blended financing toolkit developed
39;1;"National readiness for implementation of PIDA/TAH Missing links: TAH 8 Lagos (Yaoundé-Bangui-Kisangani - Kampala-Mombasa); TAH 4 Cairo (Khartoum-Juba-Kampala-Cape Town); TAH 6 Ndjamena – Khartoum -Djibouti); "
40;1;Program for Infrastructural Development of African Island States developed (Cape Verde, Sao Tome & Principe, Madagascar, Comoros, Seychelles, Mauritius)
41;1;Policy and Regulatory frameworks for PIDA projects
42;1;PIDA Impacts on job creation and economic growth produced
43;1;Comprehensive Project Status Report for all PICI Projects published
44;1;Technical Support and working missions to all PICI States and M&E study for the PICI undertaken. 
45;1;Knowledge and information on extractive industry are produced and shared
46;1;Selected countries (Central African Republic and Zambia) senior officials (25 each country) have been trained on tax policies and contract negotiation and a network of African experts on Extractive Industry established
47;1;Agro industry framework developed: Four Pillars (Production systems – productivity and value addition, Food Safety systems and Biosecurity systems)
48;2;Created an enabling environment for agreed AMRH outcomes to be achieved within each implementing REC
49;2;The AMRH performance indicators disseminated to EAC, ECOWAS, SADC and all partners to inform policy and lesson sharing across RECs
50;2;Facilitated effective implementation and accountability at AU, REC and country levels through targeted training and working with policy makers, media, legal experts, parliamentary health committees  and media
51;2;Facilitated establishment of an AMRH fundholding facility to support sustainable financing of NMRAs, RECs and AMRH
52;2;Provide Secretariat functions to the AMRH Initiative
53;2;Impact Evaluation of the  of the effectiveness of the NEPAD Multi-Country Partnership Model for Nursing and Midwifery Postgraduate Education Development in Africa
54;2;Adoption of the AESA Platform by AU Heads of State and Government and STC for science technology and innovation
55;2;Evidence for supporting STI Policy Making at the continental, regional and national levels provided to policy makers
56;2;114 experts trained in different field of Occupational Health and Safety Mine Inspection
57;2;Two operational research studies on TB and Occupational Health finalised
58;2;Two communities of practice on TB and Occupational Health, and TB financing functional
59;2;"Regional guideline/model on (a) Mine Health and Safety Legislation; and (b) Mine inception and OH clinical Protocols for occupational health drafted"
60;2;20 communicators on TB and occupational lung diseases trained and TB and Occupational Lung Disease control information developed and disseminated
61;2;TB Project regionally coordinated and Technical Assistance provided
62;2;Enhanced understanding and greater awareness on gene drive and their applications for human health among regulators from all AU Member States
63;2;Regulators empowered in the understanding of risk assessment and risk management procedures and tools for contained use and field releases of genetically engineered insects         
64;2;Regulators adopt best practices for insect containment facilities
65;2;An enabling regulatory environment created for emerging vector control technologies
66;2;Regulators capable of administratively handling, reviewing and making decisions on applications
67;2;Capacitated regulators to review dossiers for limited release to supportive of technology development and regulation
68;2;Better understanding of the implications of the Cartagena Convention and its Protocols on Africa’s biotechnology development and management
69;2;Capacitated regulators capable of and conducting monitoring and inspections for regulatory compliance
70;2;And  sharing experiences and best practices
71;2;Four countries have in place national action plans on youth employment and skills development in rural economic value chains
72;2;Four countries pilot a catalytic set of interventions through the ASTF to support the design, development  and implementation of –Youth Capacity Development Projects
73;2;Policy Dialogue on ATVET improved
74;2;ASTF technically and managerially supported
75;2;Institutional conditions for the implementation of Gender- sensitive ATVET exist in the pilot countries (Benin, Burkina Faso, Ghana, Kenya, Malawi, Namibia, Rwanda, Sierra Leone, South Africa, Togo, Tunisia, Uganda)
76;2;Agricultural Qualification measures in ATVET Institutions are adapted to the needs of Women in the pilot countries (Benin, Burkina Faso, Ghana, Kenya, Malawi, Namibia, Rwanda, Sierra Leone, South Africa, Togo, Tunisia, Uganda)
77;2;Good practices of gender-sensitive ATVET are nationally and internationally disseminated through Africa-wide exchange of good practices and joint learning among the pilot countries taking into account the RECs and AUC/NPCA
78;2;Value chain actors, including farmers, with a specific focus on Women and youth have been trained in ATVET according to the CBT approach along the developed curricula (Namibia, Rwanda, Sierra Leone, South Africa, Tunisia, and Uganda)
79;2;Offers adapted to the needs of women in rural regions for market-oriented qualification for entrepreneurship in the agricultural and food sector are implemented in Focused countries (Benin, Burkina Faso, Ghana, Kenya, Malawi, Namibia, Rwanda, Sierra Leone, South Africa, Togo, Tunisia, Uganda)
80;2;Built Functional Biosafety Regulatory Framework in Ghana, Kenya, Malawi, Nigeria, Uganda, Ethiopia, Mozambique, Swaziland, Tanzania, Zambia, Burkina Faso, Senegal, Sudan, Namibia, Togo
81;2;Accelerated implementation of BIAWE in ECOWAS and COMESA member States 
82;2;Enhanced gender mainstreaming to project cycle management 
83;2;Gender mainstreaming for Inclusive Infrastructure Development
84;2;Evaluation of Gender Program
85;2;Operationalized and coordinated Initiative Food and Nutrition in Africa (IFNA)
86;2;Enhanced  Nutrition Education, Advocacy and Research in Africa
87;2;Harnessed the potential of nutrition underutilized foods (indigenous foods)
88;2;High Level Commitment mobilized
89;2;Private sector mainstreamed into NAIPS
90;2;Biennial Review of the African Agriculture Transformation Scorecard developed (Request HE Prime Minister of Federal Democratic Republic of Ethiopia
91;2;CAADP technically and managerially supported
92;2;Strengthened country systems of implementation  and increased national budget allocation to agriculture
93;2;Strengthened and harmonized system for tracking and measurement of agriculture transformation at national, regional and continental levels
94;2;Increased private sector investment in the prioritized commodity value chains
95;2;Functional CAADP coordination mechanisms in place across levels
96;2;Resource mobilized to CAADP implementation support
97;2;Multi-partner institutional arrangements for country support on Small enterprise development established
98;2;National Self-Assessment Toolkit on generation of employment and skills development developed
99;2;Skills partnership development and resource mobilization undertaken
100;2;Provided with checklist & tools to mainstream skills development and job creation within project delivery
101;2;Knowledge products on employment, skills and entrepreneurship development are developed and disseminated to key decision makers
102;2;3 short term curricula in A2063 delivery areas are adapted and staff and country senior officials are trained
103;2;SIFA innovative approaches of employment oriented TVET for pilot countries developed
104;2;Skills Initiative for Africa launched, monitored and aligned with regional and bilateral programmes
105;2;The institutional capacities of the NPCA in M&E, technical advice and knowledge management on TVET improved
106;3;STI, Education and Health indicators integrated into the African Union policy and decision making processes
107;3;Establish a support network for expanded use of the earth observation (ATLAS) across all regions 
108;3;Examine and consider support to strengthen local capacity for generating quality data on rural development
109;3;Develop an Implementation and Performance Management Framework for the Blue Print of rural transformation in Africa
110;3;Gap Analysis: Country Capacity Development Assessments for Effective Implementation of AU Agenda 2063 and Agenda 2030 (10 Pilot Countries)                      
111;3;Institutional strengthening for national and regional executing entities for the application of TOCA 
112;3;Country Results Frameworks and 1st Ten Year Implementation Plan for Agenda 2063 – Monitoring and Evaluation
113;3;Implementation of 2015-2025 RECs CD Plan
114;3;Standard Citizen Engagement tools and mechanisms for NEPAD horizontal Application (Parliaments, CSOs, Private Sector, Tertiary Institutions)
115;3;Development of Strategic Plan (2018 to 2023) and associated implementation plans including partnership and resources mobilization strategies
116;3;Joint planning and review mechanisms enhanced between AUC and NPCA management teams
117;3;Advanced and digitalized Standard Operating Procedures in line with value based organizational systems  
118;3;Development of enterprise cross agency data inventory and policy framework
119;3;Development of strategic foresight analysis report for the continent
120;3;Enhanced portal and knowledge platform
121;3;Enhanced internal capacity both technical and managerial of staff 
122;3;Organizational Development of AUDA operating model developed and implemented
123;3;Enterprise risks management application and diffusion
124;3;Senior management partnership and resources mobilization support (Office of the CEO)
125;4;Financial closure of 6MW Gambia wind project
126;4;Financial closure of solar application of public buildings in Madagascar
127;4;Financial closure for Tanzania small islands mini-grids
128;4;Energy Audits for heavy industries in Rwanda and Tanzania
129;4;Identification of Energy Efficiency and Renewable Energy projects in Uganda and Burundi
130;4;Information on the structure, products and value of intra-regional fish trade in food security generated and made available to stakeholders
131;4;A set of recommendations on policies, certification procedures, standards and regulations, well embedded in national and regional fisheries, agricultural, trade and food security policy frameworks
132;4;Increased capacities for trade amongst private sector associations, in particular of women fish processors and traders and aquaculture producers, to make better use of expanding trade opportunities through competitive small and medium scale enterprises
133;4;Adoption and implementation of appropriate policies, certification procedures, standards and regulations by key stakeholders participating in intra-regional trade in four selected trade corridors in Africa 
134;4;Institutional capacity and regulatory frameworks for sustainable fisheries management improved
135;4;Sustainable fisheries management in small-scale fisheries including inland water bodies enhanced
136;4;Institutional capacity and regulatory framework for aquaculture development strengthened
137;4;Advocacy, Lessons Learning for knowledge sharing and Capacity for increased investments and fostering reforms in the fisheries sector enhanced
138;4;Provided technical support and backstopping at country, RECs and continental levels
139;4;Documentation, Communication and Knowledge products
140;4;Fishery projects supported both technically and managerially 
141;4;Elaboration of feasibility studies for infrastructure development and complementary measures
142;4;Africa Food Insecurity Risks Management (AFIRM)  knowledge products developed and mainstreamed into National and Regional Development Plans and CAADP implementation
143;4;AFIRM technically and managerially supported
144;4;Increased support for Regional Coalition Building
145;4;Increased support for mutual learning among countries
146;4;Increased support for countries on Sustainable Land Management  investment planning
147;4;Land governance dynamics and impact on sustainable development and equity analyzed
148;4;Mainstreaming land in investment programs
149;4;Land policy dialogues and dissemination conducted
150;4;Land policy Project implementation supported
151;4;Regional Coalition building (including M&E)
152;4;Regional knowledge management (Including M&E) - Stakeholders more effectively collecting, analyzing, managing and accessing data and information
153;4;Supported SLWM country programs
154;4;SLWM Project implementation supported
155;4;Increased country commitments to African Forest Landscape Restoration Initiative (AFR100)
156;4;Enable improved regional and global coordination
157;4;Mobilized AFR 100 national actions
158;4;Strengthened AFR100 Secretariat
159;4;Countries supported to access climate financing
160;4;NEPAD Accreditation to Green Climate Fund completed
161;4;Agriculture Nationally Determined Contributions (NDC) s implementation strengthened
162;4;CSA Facilitated and promoted through Peer learning and advocacy
163;4;Regional Flagship projects implementation coordinated and supported
164;4;Africa Environmental Partnership Platform (AEPP) fully functional
165;4;Climate agriculture Project implementation supported
166;4;Climate smart irrigation framework developed (application of renewable energy to unblock productivity, minimizing climate shocks, and water conservation)
